2026-09-06 21:35:45,590 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=18, строка=24); средняя позиция=(1096.2, 1188.7); время_боя=1102 мс; длительность=301 мс; детекций=19
2026-09-06 21:35:54,515 | Сыграна карта: skeletons; слот=1; уверенность=0.19; клетка=(столбец=3, строка=18); средняя позиция=(139.2, 886.0); время_боя=2739 мс; длительность=301 мс; детекций=19
2026-09-06 21:35:58,891 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=3, строка=16); средняя позиция=(138.2, 785.0); время_боя=3490 мс; длительность=334 мс; детекций=7
2026-09-06 21:36:15,581 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=6, строка=9); средняя позиция=(334.2, 422.6); время_боя=6396 мс; длительность=301 мс; детекций=18
2026-09-06 21:36:19,765 | Сыграна карта: musketeer-ev1; слот=1; уверенность=0.30; клетка=(столбец=16, строка=18); средняя позиция=(970.9, 880.2); время_боя=7114 мс; длительность=301 мс; детекций=15
2026-09-06 21:36:33,736 | Сыграна карта: musketeer-ev1; слот=2; уверенность=0.33; клетка=(столбец=10, строка=21); средняя позиция=(585.4, 1039.7); время_боя=9369 мс; длительность=301 мс; детекций=19
2026-09-06 21:37:00,961 | Сыграна карта: musketeer-ev1; слот=2; уверенность=0.57; клетка=(столбец=9, строка=24); средняя позиция=(522.9, 1190.9); время_боя=11740 мс; длительность=301 мс; детекций=16
2026-09-06 21:37:29,205 | Сыграна карта: ice-golem; слот=4; уверенность=0.34; клетка=(столбец=5, строка=10); средняя позиция=(269.5, 487.7); время_боя=15548 мс; длительность=301 мс; детекций=18
2026-09-09 16:08:51,119 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=10, строка=21); средняя позиция=(587.8, 1044.9); время_боя=0 мс; длительность=319 мс; детекций=7
2026-09-09 16:08:55,813 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=32); средняя позиция=(970.1, 1609.9); время_боя=1007 мс; длительность=302 мс; детекций=15
2026-09-09 16:08:59,773 | Сыграна карта: fireball; слот=4; уверенность=0.94; клетка=(столбец=13, строка=10); средняя позиция=(779.6, 470.0); время_боя=1813 мс; длительность=302 мс; детекций=19
2026-09-09 16:09:06,054 | Сыграна карта: ice-spirit; слот=1; уверенность=0.99; клетка=(столбец=10, строка=19); средняя позиция=(586.1, 939.1); время_боя=3088 мс; длительность=302 мс; детекций=18
2026-09-09 16:09:13,068 | Сыграна карта: skeletons-ev1; слот=4; уверенность=0.99; клетка=(столбец=5, строка=20); средняя позиция=(267.1, 988.9); время_боя=4498 мс; длительность=302 мс; детекций=17
2026-09-09 16:09:17,524 | Сыграна карта: the-log; слот=2; уверенность=0.99; клетка=(столбец=5, строка=18); средняя позиция=(266.4, 881.8); время_боя=5337 мс; длительность=302 мс; детекций=15
2026-09-09 16:09:18,960 | Сыграна карта: the-log; слот=2; уверенность=0.99; клетка=(столбец=5, строка=28); средняя позиция=(267.5, 1403.1); время_боя=5606 мс; длительность=319 мс; детекций=12
2026-09-09 16:09:22,826 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=5, строка=26); средняя позиция=(266.5, 1290.1); время_боя=6395 мс; длительность=302 мс; детекций=9
2026-09-09 16:09:37,428 | Сыграна карта: hog-rider; слот=4; уверенность=1.00; клетка=(столбец=17, строка=18); средняя позиция=(1033.4, 886.4); время_боя=9197 мс; длительность=302 мс; детекций=18
